year,representative_rank,district,state,representative_score,gerrymander_index,polsby_popper,reock,convex_hull_ratio,components,computed_area_sqkm,perimeter_km,num_ccds,population_actual,population_projected,population_total
2025,1,Barton,NSW,89.5,10.5,0.6085,0.6225,0.8945,1,41.839,29.394,453,119759,130495,
2025,2,Newcastle,NSW,87.5,12.5,0.5573,0.5841,0.8828,1,173.41,62.53,388,124262,131611,
2025,3,Bowman,QLD,87.3,12.7,0.5145,0.6104,0.8853,1,907.037,148.839,356,,,
2025,4,Canning,WA,87.3,12.7,0.5271,0.5736,0.9155,1,3741.527,298.667,350,112253,123337,
2025,5,Hinkler,QLD,85.7,14.3,0.4573,0.5767,0.9183,1,7613.714,457.405,361,,,
2025,6,Chifley,NSW,83.5,16.5,0.4919,0.584,0.8522,1,112.725,53.662,406,110720,130077,
2025,7,Hasluck,WA,82.8,17.2,0.5655,0.4987,0.8702,1,258.553,75.8,366,106753,120104,
2025,8,Werriwa,NSW,81.7,18.3,0.4728,0.5661,0.8464,1,110.972,54.312,353,111031,132372,
2025,9,Cowan,WA,81.2,18.8,0.5235,0.5892,0.8183,1,107.724,50.851,390,113864,119247,
2025,10,Blaxland,NSW,79.8,20.2,0.4758,0.505,0.8544,1,59.334,39.588,447,114405,128190,
2025,11,Bennelong,NSW,79.5,20.5,0.4488,0.5229,0.8495,1,66.278,43.078,434,123253,127105,
2025,12,Scullin,VIC,79.5,20.5,0.3968,0.5401,0.8656,1,173.675,74.158,419,111100,125838,
2025,13,Bullwinkel,,79.2,20.8,0.3888,0.5461,0.8684,1,9514.665,554.541,433,115935,121516,
2025,14,Adelaide,SA,78.0,22.0,0.5071,0.4718,0.864,1,86.468,46.29,422,,,
2025,15,Rankin,QLD,78.0,22.0,0.4939,0.5211,0.8214,1,131.254,57.787,415,,,
2025,16,La Trobe,VIC,77.7,22.3,0.3485,0.5867,0.8465,1,1302.274,216.684,377,105499,131469,
2025,17,Macarthur,NSW,76.8,23.2,0.4157,0.5139,0.8363,1,306.941,96.33,401,109791,131620,
2025,18,Swan,WA,76.8,23.2,0.4499,0.5219,0.8231,1,133.18,60.993,426,114799,123390,
2025,19,Dunkley,VIC,76.3,23.7,0.542,0.5004,0.8131,1,147.7,58.52,400,121348,127015,
2025,20,Isaacs,VIC,76.3,23.7,0.6059,0.4184,0.8872,1,158.099,57.262,409,118457,124846,
2025,21,Goldstein,VIC,76.0,24.0,0.5346,0.4169,0.9267,1,56.351,36.397,389,122654,131413,
2025,22,Hotham,VIC,75.8,24.2,0.5515,0.4179,0.8938,1,80.967,42.953,456,118167,129636,
2025,23,Gorton,VIC,75.3,24.7,0.4997,0.5047,0.8095,1,207.312,72.202,421,118599,129373,
2025,24,Calwell,VIC,75.2,24.8,0.3693,0.4886,0.8745,1,190.868,80.585,405,109202,130110,
2025,25,Deakin,VIC,74.7,25.3,0.4537,0.4726,0.8447,1,98.291,52.177,434,124392,130314,
2025,26,Dickson,QLD,74.5,25.5,0.3369,0.5557,0.8407,1,725.542,164.519,374,,,
2025,27,Kingsford Smith,NSW,74.4,25.6,0.4718,0.6364,0.8632,2,93.548,49.914,437,118213,125262,
2025,28,Grayndler,NSW,74.3,25.7,0.4459,0.5101,0.816,1,34.204,31.048,412,123233,126441,
2025,29,Curtin,WA,73.5,26.5,0.5052,0.4328,0.8487,1,102.847,50.58,364,114449,121962,
2025,30,Mallee,VIC,71.0,29.0,0.2362,0.5326,0.9006,1,83401.758,2106.297,489,121563,125051,
2025,31,Reid,NSW,70.8,29.2,0.4568,0.4389,0.8338,1,55.101,38.935,473,116485,125674,
2025,32,Mitchell,NSW,70.0,30.0,0.4656,0.3872,0.8809,1,79.306,46.266,402,119353,133386,
2025,33,Burt,WA,68.5,31.5,0.4801,0.3675,0.869,1,221.976,76.222,388,113477,125505,
2025,34,Kennedy,QLD,66.8,33.2,0.3568,0.566,0.8679,6,629514.931,4708.567,506,,,
2025,35,Fadden,QLD,66.7,33.3,0.391,0.4668,0.8056,1,433.157,117.988,361,,,
2025,36,Holt,VIC,66.3,33.7,0.3956,0.4288,0.8228,1,252.255,89.518,391,106399,127222,
2025,37,Clark,TAS,65.8,34.2,0.2645,0.4984,0.8362,1,291.767,117.745,277,,,
2025,38,Mcmahon,NSW,65.8,34.2,0.3111,0.5168,0.7961,1,178.592,84.93,427,117643,132460,
2025,39,Calare,NSW,65.2,34.8,0.1845,0.6683,0.8399,1,32663.739,1491.452,460,122798,126537,
2025,40,Moreton,QLD,65.2,34.8,0.3734,0.4362,0.8186,1,109.753,60.779,390,,,
2025,41,Parkes,NSW,65.0,35.0,0.2712,0.4759,0.8433,1,407125.554,4342.956,563,130365,128178,
2025,42,Hunter,NSW,64.7,35.3,0.2801,0.4762,0.8265,1,7313.675,572.796,436,126976,131116,
2025,43,Cook,NSW,64.0,36.0,0.3648,0.4767,0.7833,1,97.364,57.91,373,116059,131162,
2025,44,Griffith,QLD,63.3,36.7,0.3814,0.4827,0.7691,1,57.469,43.516,352,,,
2025,45,Pearce,WA,63.0,37.0,0.4552,0.3557,0.8296,1,755.546,144.415,359,107160,120025,
2025,46,Aston,VIC,62.7,37.3,0.2632,0.549,0.7862,1,123.68,76.846,419,121246,124051,
2025,47,Warringah,NSW,62.7,37.3,0.4115,0.4698,0.7662,1,69.381,46.031,432,128292,127110,
2025,48,Brisbane,QLD,61.7,38.3,0.3787,0.4953,0.7504,1,57.575,43.708,377,,,
2025,49,Moore,WA,61.7,38.3,0.4299,0.3637,0.8216,1,102.638,54.775,405,118958,123183,
2025,50,Lalor,VIC,61.3,38.7,0.3251,0.47,0.7895,1,179.561,83.305,432,106137,131433,
2025,51,Leichhardt,QLD,60.8,39.2,0.3964,0.392,0.8093,1,302125.257,3094.879,447,,,
2025,52,Tangney,WA,59.7,40.3,0.3913,0.4118,0.7899,1,107.365,58.719,402,120520,125264,
2025,53,Gellibrand,VIC,59.5,40.5,0.3471,0.4449,0.7774,1,144.081,72.222,429,113796,127547,
2025,54,Boothby,SA,59.2,40.8,0.3406,0.4403,0.7801,1,115.602,65.303,404,,,
2025,55,Oxley,QLD,59.0,41.0,0.2935,0.5332,0.7398,1,158.798,82.463,396,,,
2025,56,Banks,NSW,58.8,41.2,0.4084,0.3516,0.8148,1,65.909,45.036,407,117499,130118,
2025,57,Makin,SA,58.8,41.2,0.3531,0.3837,0.815,1,162.61,76.071,410,,,
2025,58,Wills,VIC,58.8,41.2,0.3975,0.3814,0.7998,1,47.086,38.582,402,120791,130444,
2025,59,Ballarat,VIC,58.7,41.3,0.2492,0.4914,0.7898,1,5320.076,517.993,362,112598,123846,
2025,60,Kooyong,VIC,58.5,41.5,0.2741,0.5028,0.7715,1,59.018,52.019,417,122936,130949,
2025,61,Parramatta,NSW,58.3,41.7,0.4143,0.4405,0.7348,1,65.553,44.591,477,115976,126575,
2025,62,Watson,NSW,55.5,44.5,0.3999,0.3304,0.8015,1,50.503,39.837,430,114719,128739,
2025,63,Grey,SA,55.3,44.7,0.2287,0.5756,0.8833,164,909744.054,7069.961,519,,,
2025,64,Fraser,VIC,55.1,44.9,0.3455,0.4098,0.7763,1,97.471,59.543,435,121865,129206,
2025,65,Hughes,NSW,54.3,45.7,0.3049,0.4699,0.7427,1,387.914,126.451,406,112710,128281,
2025,66,Mackellar,NSW,54.2,45.8,0.2766,0.4778,0.8192,2,243.044,105.078,435,126148,133225,
2025,67,Bradfield,NSW,53.6,46.4,0.3396,0.3863,0.7801,1,107.17,62.975,469,125363,125568,
2025,68,Lindsay,NSW,53.2,46.8,0.3324,0.4333,0.7451,1,325.231,110.883,403,117423,133150,
2025,69,Hume,NSW,52.9,47.1,0.2427,0.5068,0.7256,1,2674.589,372.107,385,109553,128070,
2025,70,Corio,VIC,52.8,47.2,0.2198,0.5182,0.7544,1,1215.661,263.631,418,120410,124168,
2025,71,Wentworth,NSW,52.8,47.2,0.3805,0.4374,0.7934,2,41.052,36.819,442,127588,126017,
2025,72,Lilley,QLD,52.5,47.5,0.3129,0.4771,0.6759,1,142.951,75.765,380,,,
2025,73,Berowra,NSW,51.8,48.2,0.2163,0.4756,0.7788,1,795.484,214.968,508,128864,132096,
2025,74,Fisher,QLD,51.5,48.5,0.2519,0.4621,0.7647,1,1224.106,247.128,349,,,
2025,75,Maribyrnong,VIC,51.4,48.6,0.3089,0.3953,0.7763,1,69.847,53.301,409,119489,125759,
2025,76,Hawke,VIC,51.3,48.7,0.2137,0.5133,0.7516,1,1984.753,341.606,400,111435,128529,
2025,77,Dobell,NSW,51.2,48.8,0.2831,0.4657,0.8143,2,742.169,181.495,392,119652,131128,
2025,78,O'connor,WA,51.2,48.8,0.3148,0.4366,0.8645,368,1095358.038,6612.339,531,118099,120810,
2025,79,Spence,SA,51.2,48.8,0.2477,0.4456,0.7674,1,534.091,164.621,422,,,
2025,80,Flynn,QLD,51.0,49.0,0.2201,0.4514,0.786,1,160383.147,3026.357,440,,,
2025,81,Groom,QLD,50.5,49.5,0.1949,0.4902,0.7678,1,5594.686,600.589,398,,,
2025,82,Perth,WA,50.5,49.5,0.3394,0.428,0.699,1,73.548,52.181,369,113179,121458,
2025,83,Chisholm,VIC,50.3,49.7,0.3334,0.3408,0.7861,1,72.721,52.355,455,121560,130919,
2025,84,Lyne,NSW,50.2,49.8,0.2869,0.4563,0.8249,17,16100.218,839.817,436,126513,132775,
2025,85,Greenway,NSW,49.3,50.7,0.341,0.3385,0.7759,1,89.6,57.464,371,109188,130982,
2025,86,Maranoa,QLD,49.0,51.0,0.2366,0.3952,0.793,1,731278.171,6231.619,458,,,
2025,87,Bruce,VIC,48.3,51.7,0.3346,0.3732,0.7501,1,141.557,72.915,467,125348,131654,
2025,88,Herbert,QLD,48.3,51.7,0.2716,0.2141,0.8356,1,17941.758,911.156,415,,,
2025,89,Indi,VIC,48.0,52.0,0.1917,0.4224,0.8001,1,29179.202,1383.074,425,118876,125526,
2025,90,Casey,VIC,46.8,53.2,0.2245,0.3883,0.7948,1,2622.466,383.14,442,119538,122825,
2025,91,Melbourne,VIC,46.5,53.5,0.3255,0.4166,0.677,1,39.394,39.001,483,113439,126519,
2025,92,Bendigo,VIC,46.0,54.0,0.2003,0.4832,0.7015,1,6175.844,622.539,379,116921,124615,
2025,93,Robertson,NSW,45.7,54.3,0.236,0.4209,0.7528,1,1024.933,233.6,368,113276,125555,
2025,94,Whitlam,NSW,45.6,54.4,0.2337,0.4665,0.8023,2,3031.557,403.727,427,125989,130903,
2025,95,Wannon,VIC,44.6,55.4,0.2578,0.4612,0.8045,23,34249.97,1292.057,456,120315,123203,
2025,96,Capricornia,QLD,44.0,56.0,0.2554,0.3716,0.7626,1,151900.401,2733.756,401,,,
2025,97,Dawson,QLD,44.0,56.0,0.2747,0.2036,0.7967,1,67604.389,1758.615,429,,,
2025,98,Cooper,VIC,43.7,56.3,0.2354,0.4268,0.7073,1,61.046,57.092,368,115881,124817,
2025,99,Cowper,NSW,43.7,56.3,0.2896,0.4231,0.8063,28,7279.055,561.965,452,129116,133115,
2025,100,Canberra,ACT,43.5,56.5,0.2978,0.3339,0.7547,1,312.261,114.785,382,,,
2025,101,Sturt,SA,43.3,56.7,0.2734,0.3983,0.6971,1,97.678,67.0,410,,,
2025,102,Wright,QLD,43.2,56.8,0.1766,0.398,0.7843,1,7588.874,734.863,396,,,
2025,103,Moncrieff,QLD,43.0,57.0,0.3181,0.3532,0.6993,1,103.656,63.988,393,,,
2025,104,Menzies,VIC,41.7,58.3,0.2305,0.4269,0.6911,1,102.091,74.61,441,120713,128860,
2025,105,McPherson,QLD,41.0,59.0,0.3047,0.3726,0.6546,1,229.803,97.354,360,,,
2025,106,Fowler,NSW,40.5,59.5,0.2543,0.4095,0.6551,1,62.501,55.574,409,117069,132944,
2025,107,Riverina,NSW,39.1,60.9,0.1433,0.4687,0.6822,1,52416.332,2144.141,499,127626,129109,
2025,108,Barker,SA,39.0,61.0,0.3098,0.2972,0.8344,27,65203.682,1626.18,465,,,
2025,109,Nicholls,VIC,38.7,61.3,0.1417,0.4323,0.7271,1,14112.358,1118.598,432,118594,124901,
2025,110,Bonner,QLD,38.5,61.5,0.31,0.2268,0.7132,1,941.425,195.339,370,,,
2025,111,Page,NSW,37.7,62.3,0.2286,0.4171,0.8048,22,19359.524,1031.708,492,126062,132416,
2025,112,Mcewen,VIC,37.5,62.5,0.1941,0.3997,0.7025,1,2286.826,384.732,362,109412,129167,
2025,113,Kingston,SA,37.3,62.7,0.2703,0.2987,0.7218,1,165.514,87.723,400,,,
2025,114,Macquarie,NSW,37.2,62.8,0.1789,0.3564,0.7649,1,4388.957,555.169,417,119011,129051,
2025,115,Farrer,NSW,35.2,64.8,0.1433,0.3501,0.7742,1,126590.174,3331.91,496,121734,127265,
2025,116,Wide Bay,QLD,35.0,65.0,0.2154,0.3544,0.703,1,14630.272,923.775,400,,,
2025,117,Longman,QLD,34.5,65.5,0.1731,0.4253,0.607,1,1287.451,305.676,351,,,
2025,118,Gippsland,VIC,34.2,65.8,0.2908,0.3519,0.7553,3,33304.849,1199.657,407,116666,123685,
2025,119,New England,NSW,33.5,66.5,0.1505,0.3098,0.7743,1,75314.547,2507.825,492,129663,128489,
2025,120,Forde,QLD,31.2,68.8,0.1849,0.3838,0.5978,1,418.258,168.616,376,,,
2025,121,Macnamara,VIC,30.7,69.3,0.2375,0.236,0.6238,1,38.426,45.095,404,113403,122946,
2025,122,Blair,QLD,30.5,69.5,0.1521,0.3162,0.7388,1,6482.35,731.919,406,,,
2025,123,Petrie,QLD,30.0,70.0,0.2227,0.3204,0.6169,1,152.237,92.684,395,,,
2025,124,Jagajaga,VIC,28.3,71.7,0.1662,0.3196,0.6899,1,137.145,101.842,396,118529,123151,
2025,125,Richmond,NSW,26.8,73.2,0.2345,0.3662,0.7256,9,2147.985,339.263,440,122977,129794,
2025,126,Ryan,QLD,26.2,73.8,0.1698,0.3377,0.5777,1,371.12,165.71,368,,,
2025,127,Eden-monaro,NSW,23.7,76.3,0.1762,0.3714,0.7657,95,31907.273,1508.299,467,118283,127154,
2025,128,Fairfax,QLD,23.4,76.6,0.2023,0.3713,0.6685,2,1005.785,249.96,340,,,
2025,129,Solomon,NT,22.6,77.4,0.1592,0.3934,0.6796,3,211.916,129.334,308,77293,85350,
2025,130,Hindmarsh,SA,22.4,77.6,0.1462,0.2587,0.7785,4,122.46,102.598,394,,,
2025,131,Brand,WA,21.2,78.8,0.2429,0.3335,0.6077,8,309.105,126.448,372,106524,118114,
2025,132,Shortland,NSW,20.6,79.4,0.2344,0.2359,0.6901,4,269.744,120.264,394,121152,126730,
2025,133,Paterson,NSW,17.6,82.4,0.1979,0.2343,0.7101,18,1034.4,256.305,410,123376,133220,
2025,134,Cunningham,NSW,15.7,84.2,0.1952,0.311,0.6051,6,537.884,186.091,452,130546,130375,
2025,135,Flinders,VIC,15.2,84.8,0.2347,0.229,0.6031,23,1001.18,231.507,381,124111,128659,
2025,136,Corangamite,VIC,14.5,85.5,0.1752,0.295,0.6332,5,639.511,214.177,314,107193,128351,
2025,137,Fremantle,WA,12.9,87.1,0.218,0.1182,0.3782,4,193.952,105.73,347,113289,124781,
2025,138,Gilmore,NSW,12.4,87.6,0.1401,0.2561,0.6835,18,6322.147,753.14,443,126793,132582,
2025,139,Franklin,TAS,10.7,89.3,0.0256,0.3422,0.6424,118,6383.364,1771.679,282,,,
2025,140,Durack,WA,10.2,89.8,0.0362,0.3379,0.6745,2097,1414472.182,22151.895,565,114949,118845,
2025,141,Bean,ACT,10.0,90.0,0.2335,0.0007,0.0215,32,1913.629,320.94,420,,,
2025,142,Monash,VIC,9.2,90.8,0.0955,0.3296,0.5569,29,8261.994,1042.445,360,113398,127031,
2025,143,Forrest,WA,8.4,91.6,0.165,0.229,0.6049,125,6465.484,701.647,380,111918,118304,
2025,144,Fenner,ACT,7.4,92.6,0.1408,0.0112,0.1122,4,238.092,145.753,439,,,
2025,145,Lyons,TAS,6.5,93.5,0.0637,0.3005,0.571,342,31934.462,2510.639,322,,,
2025,146,Mayo,SA,5.8,94.2,0.1116,0.1737,0.4933,30,9134.383,1014.358,421,,,
2025,147,Sydney,NSW,4.7,95.3,0.0842,0.0001,0.0062,13,52.587,88.576,502,129982,128333,
2025,148,Bass,TAS,3.3,96.7,0.0306,0.1383,0.239,101,7968.369,1807.874,301,,,
2025,149,Lingiari,NT,3.3,96.7,0.0956,0.0841,0.2801,306,1352065.268,13329.074,365,76104,81488,
2025,150,Braddon,TAS,2.7,97.3,0.0302,0.1401,0.4705,1361,21337.206,2978.692,321,,,
